row_hash,Кількість лікарів,Чи є лікарі?,"Кількість фелдшерів, медичних сестер",Чи є сестри? ,Співвідношення кількості лікарів та медсестер,Кількість обслуговуємого населення на кінець 2023,Співвідношення кількості лікарів до обслуговуємого населення,Кількість декларацій на кінець 2023,Кількість лікарів на 1000 декларацій,Кількість спеціалістів ультразвукової діагностики,Наявність/кількість мобільних команд (від амбулаторіі чи інших організацій),"Тонометр з малими, середніми і великими манжетами",Пульсоксиметр портативний,Отоофтальмоскоп,Електрокардіограф (у комплекті з витратними (одноразовими) матеріалами),Пікфлуометр (у комплекті з витратними (одноразовими) матеріалами),Молоточок неврологічний,Швидкі тести: вагітність (в розрахунку на потребу на місяць),Швидкі тести: тропоніни (в розрахунку на потребу на місяць),Швидкі тести: ВІЛ (в розрахунку на потребу на місяць),Швидкі тести: вірусні гепатити (в розрахунку на потребу на місяць),Кількість наборів (РЕР - пост контактна профілфктика) для надання допомоги постраждалим від гендерного насильства.,Швидкі тести: вагітність 1\0,Швидкі тести:тропонін 1\0,Швидкі тести: ВІЛ 1\0,Швидкі тести: вірусні гепатити 1\0,Засоби контрацепції для надання населенню,Сумка-холодильник з набором акумуляторів холоду,Холодильник для зберігання лікарських засобів,"Кушетка, в тому числі кушеткатрансформер (гінекологічне крісло)",Можливість гінекологічного крісла,"Кількість робочих місць повністю забезпечених комп’ютерним обладнанням (комп’ютер або ноутбук з операційною системою та доступом до мережі Інтернет, багатофункціональний пристрій (або принтер + сканер))",Кількість робочих місць повністю забезпечених комп’ютерним бінарний,Автомобіль,Автомобіль бінарний,"Транспортний засіб (мотоцикл, квадроцикл, мотороллер) або велосипед ",Транспортний засіб бінарний,Апарат визначення рівня глюкози крові у комплекті (глюкометр та витратні матеріали). В коментарі вкажіть на скільки місяців роботи є запас,"Засоби індивідуального захисту (одноразовий халат, одноразові рукавички, бахіли, респіратор класу захисту FFP2/ FFP3, шапочка медична, маска хірургічна (медична), захисний щиток). Вкажіть на скількі місяців забезпечені","Наявність витратних матеріалів для збору, зберігання та утілізації медичних відходів. Вкажіть на скількі місяців забезпечені",Кисневий концентратор (у комплекті з витратними (одноразовими) матеріалами),Небулайзер,Мішок ручної вентиляції легень (типу Амбу),Гематологічний аналізатор (стац./.портатив/ автомат/ полу),Анализатор HbA1C (Глікований гемоглобін),Біохімічний аналізатор,"Лабораторний посуд, дозатори, витратні матеріали. Вкажіть на скількі місяців забезпечені",Холодильник для зберігання вакцин,Зовнішній дефібрилятор автоматичний,Ноші медичні,Крісло-каталка,Кількість генераторів. Вкажіть потужність в коментарях,"Загальна оглядова цифрова камера (автофокус, цифровий зум, поляризаційний фільтр, автобаланс. білого)","Коментарі щодо стану обладнання, комплектації, тощо (якщо є такі)","Набір цифрових «скопічних» систем із генератором світла (дерматоскоп, офтальмоскоп, отоскоп, назо-фарингоскоп, сінускоп, кольпоскоп)","Коментарі щодо стану обладнання, комплектації, тощо (якщо є такі)_duplicated_0",Дерматоскоп,Офтальмоскоп,Отоскоп,Спірометр цифровий,"Коментарі щодо стану обладнання, комплектації, тощо (якщо є такі)_duplicated_1","Монітор життєвоважливих показників із цифровим інтерфейсом (АТ, термометрія, пульсоксиметрія)",12-канальний електрокардіограф з цифровим інтерфейсом,"Коментарі щодо стану обладнання, комплектації, тощо (якщо є такі)_duplicated_2",Обладнання для надання медичних послуг із застосуванням телемедицини бінарний
4054278ebf5f9e75,2.0,1.0,2.0,1.0,1.0,2537.0,0.8,2277.0,0.9,0.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,,3.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,,1.0
1ac1240083b203e2,1.0,1.0,1.0,1.0,1.0,561.0,1.8,462.0,2.2,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
3a7efdd2d4fe6621,1.0,1.0,3.0,1.0,3.0,2100.0,0.5,2100.0,0.5,0.0,0.0,4.0,5.0,0.0,2.0,0.0,2.0,4.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,6.0,,2.0,1.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,,1.0,тільки дерматоскоп,1.0,0.0,0.0,1.0,,0.0,1.0,,1.0
d105fab241102f24,2.0,1.0,3.0,1.0,1.5,2652.0,0.8,2807.0,0.7,0.0,0.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,12.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,144.0,2.0,2.0,3.0,,2.0,1.0,1.0,1.0,0.0,0.0,4.0,6.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0,200.0,2.0,1.0,0.0,0.0,1.0,1.0,,2.0,,0.0,0.0,0.0,2.0,,1.0,0.0,,1.0
976e2e82fa9afb74,1.0,1.0,1.0,1.0,1.0,1330.0,0.8,1781.0,0.6,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0
0d66585a5418c5e1,1.0,1.0,1.0,1.0,1.0,764.0,0.0,540.0,1.9,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0
cf2c0d08a229b23a,1.0,1.0,2.0,1.0,2.0,847.0,1.2,850.0,1.2,0.0,0.0,1.0,30.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,10.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0,2.0,1.0,1.0,,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,,1.0
ced218b7c6bb3672,1.0,1.0,2.0,1.0,2.0,1267.0,0.8,1815.0,0.6,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
689198ece2b7391d,0.0,0.0,1.0,1.0,0.0,893.0,0.0,1425.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
fee7cfbaf0cde64f,1.0,1.0,2.0,1.0,2.0,826.0,1.2,826.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
c9f2f0b93ba003aa,4.0,1.0,3.0,1.0,0.8,3914.0,1.0,3914.0,1.0,0.0,1.0,3.0,90.0,1.0,2.0,1.0,0.0,1.0,5.0,20.0,40.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,,1.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,9.0,3.0,1.0,4.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0,4.0,1.0,1.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0
cd6722b5569bb95f,2.0,1.0,1.0,1.0,0.5,1906.0,1.0,1906.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,2.0,,0.0,0.0,0.0,1.0,,1.0,0.0,,1.0
638ae187a3a8f195,5.0,1.0,7.0,1.0,1.4,5480.0,0.9,5480.0,0.9,0.0,0.0,8.0,50.0,1.0,3.0,2.0,1.0,10.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,,14.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,10.0,0.0,0.0,1.0,36.0,3.0,1.0,2.0,1.0,1.0,0.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,1.0,,1.0
7f5a43da9d919ac1,4.0,1.0,6.0,1.0,1.5,13148.0,0.3,9505.0,0.4,0.0,0.0,9.0,4.0,7.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,9.0,,6.0,1.0,1.0,1.0,0.0,0.0,20.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,,1.0
